session,data_type,data_num,path,split
3-4,silent,4175,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4175.wav_20251003_184632.npz,train
3-4,silent,4090,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4090.wav_20251003_183708.npz,train
3-4,silent,4674,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4674.wav_20251003_194043.npz,train
3-4,silent,4359,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4359.wav_20251003_190624.npz,train
3-4,silent,4643,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4643.wav_20251003_193651.npz,train
3-4,silent,4014,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4014.wav_20251003_182957.npz,train
3-4,silent,4861,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4861.wav_20251005_140505.npz,train
3-4,silent,4744,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4744.wav_20251005_134005.npz,train
3-4,silent,4889,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4889.wav_20251005_140756.npz,train
3-4,silent,4555,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4555.wav_20251003_192852.npz,train
3-4,silent,4387,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4387.wav_20251003_191003.npz,train
3-4,silent,4981,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4981.wav_20251005_141710.npz,train
3-4,silent,4649,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4649.wav_20251003_193734.npz,train
3-4,silent,4922,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4922.wav_20251005_141057.npz,train
3-4,silent,4962,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4962.wav_20251005_141428.npz,train
3-4,silent,4318,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4318.wav_20251003_190137.npz,train
3-4,silent,4822,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4822.wav_20251005_140105.npz,train
3-4,silent,4174,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4174.wav_20251003_184626.npz,train
3-4,silent,4772,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4772.wav_20251005_135422.npz,train
3-4,silent,4497,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4497.wav_20251003_192239.npz,train
3-4,silent,4645,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4645.wav_20251003_193709.npz,train
3-4,silent,4606,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4606.wav_20251003_193341.npz,train
3-4,silent,4978,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4978.wav_20251005_141703.npz,train
3-4,silent,4315,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4315.wav_20251003_190120.npz,train
3-4,silent,4662,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4662.wav_20251003_193914.npz,train
3-4,silent,4905,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4905.wav_20251005_140919.npz,train
3-4,silent,4228,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4228.wav_20251003_185145.npz,train
3-4,silent,4261,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4261.wav_20251003_185438.npz,train
3-4,silent,4409,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4409.wav_20251003_191250.npz,train
3-4,silent,4836,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4836.wav_20251005_140236.npz,train
3-4,silent,4620,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4620.wav_20251003_193504.npz,train
3-4,silent,4274,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4274.wav_20251003_185613.npz,train
3-4,silent,4200,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4200.wav_20251003_184909.npz,train
3-4,silent,4996,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4996.wav_20251005_141747.npz,train
3-4,silent,4602,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4602.wav_20251003_193319.npz,train
3-4,silent,4533,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4533.wav_20251003_192635.npz,train
3-4,silent,4351,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4351.wav_20251003_190523.npz,train
3-4,silent,4312,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4312.wav_20251003_190054.npz,train
3-4,silent,4595,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4595.wav_20251003_193238.npz,train
3-4,silent,4607,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4607.wav_20251003_193346.npz,train
3-4,silent,4747,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4747.wav_20251005_134020.npz,train
3-4,silent,4506,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4506.wav_20251003_192357.npz,train
3-4,silent,4403,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4403.wav_20251003_191208.npz,train
3-4,silent,4711,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4711.wav_20251005_133629.npz,train
3-4,silent,4668,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4668.wav_20251003_193954.npz,train
3-4,silent,4125,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4125.wav_20251003_184105.npz,train
3-4,silent,4296,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4296.wav_20251003_185853.npz,train
3-4,silent,4448,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4448.wav_20251003_191730.npz,train
3-4,silent,4915,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4915.wav_20251005_141025.npz,train
3-4,silent,4636,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4636.wav_20251003_193619.npz,train
3-4,silent,4469,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4469.wav_20251003_191922.npz,train
3-4,silent,4593,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4593.wav_20251003_193228.npz,train
3-4,silent,4851,silent_speech_dataset/silent/3-4/data/emg/emg_250hz_3_3_4851.wav_20251005_140400.npz,train
